Influencer ID,Total Faces,Average Performance,Representative Face
hd-929300948587514,7,1.3256,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-929300948587514.jpg
hd-925596815118953,17,0.3247,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-925596815118953.jpg
hd-925260332281638,6,0.4572,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-925260332281638.jpg
hd-924865635226814,0,1.9042,
hd-924585008982148,17,1.8667,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-924585008982148.jpg
hd-621652523105267,2,1.7492,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-621652523105267.jpg
hd-621266003076530,6,0.2689,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-621266003076530.jpg
hd-620702145697389,12,1.2383,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-620702145697389.jpg
hd-620154813059921,6,1.2875,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-620154813059921.jpg
hd-618555366744628,6,0.9139,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-618555366744628.jpg
hd-6174004652651971,17,1.8351,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-6174004652651971.jpg
hd-617288786873081,0,0.7379,
hd-6172742522782221,6,0.3688,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-6172742522782221.jpg
hd-613417017284998,17,1.2673,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-613417017284998.jpg
hd-613197413789434,0,0.6284,
hd-613152173490344,6,1.541,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-613152173490344.jpg
hd-612555930635832,17,1.1942,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-612555930635832.jpg
hd-612426467555072,6,0.5582,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-612426467555072.jpg
hd-611188517518682,0,0.2946,
hd-6107397609317402,17,2.1881,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-6107397609317402.jpg
hd-6096104653784047,6,1.7413,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-6096104653784047.jpg
