Influencer ID,Total Faces,Average Performance,Representative Face
hd-673961584214053,17,0.7821149666,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-673961584214053.jpg
hd-6720438181324436,14,0.2876825287,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-6720438181324436.jpg
hd-671839840899900,1,0.7006029682,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-671839840899900.jpg
hd-429145826826558,4,0.5331400112,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-429145826826558.jpg
hd-427878012859864,6,0.6253766334,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-427878012859864.jpg
hd-426644026275739,6,1.766969484,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-426644026275739.jpg
hd-425151876539382,0,1.260474462,
hd-424802420355057,3,1.667158729,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-424802420355057.jpg
hd-424394867097391,0,1.391908828,
hd-1698824364241828,3,1.528898533,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-1698824364241828.jpg
hd-1693566687752051,0,0.3545068912,
hd-1689212771862832,0,1.5609306,
hd-1685108828975354,2,0.9484886769,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-1685108828975354.jpg
hd-1119706949586170,16,1.274918363,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-1119706949586170.jpg
hd-1119272995406354,6,0.1561672047,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-1119272995406354.jpg
hd-1118763132933218,0,1.444242618,
